,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,25042000000.0,11616000000.0,29787000000.0,21886000000.0,
Repurchase Of Capital Stock,0.0,-2918000000.0,-9171000000.0,-7854000000.0,
Repayment Of Debt,-7024000000.0,-11947000000.0,-11311000000.0,-3928000000.0,
Issuance Of Debt,9172000000.0,13186000000.0,7817000000.0,12695000000.0,
Capital Expenditure,-20927000000.0,-18976000000.0,-19409000000.0,-15464000000.0,
Interest Paid Supplemental Data,5094000000.0,4939000000.0,4997000000.0,4345000000.0,
Income Tax Paid Supplemental Data,13978000000.0,28544000000.0,7765000000.0,4236000000.0,
End Cash Position,52569000000.0,48376000000.0,38643000000.0,36399000000.0,
Beginning Cash Position,48376000000.0,38643000000.0,36399000000.0,88706000000.0,
Effect Of Exchange Rate Changes,478000000.0,-212000000.0,116000000.0,-394000000.0,
Changes In Cash,3715000000.0,9945000000.0,2128000000.0,-51913000000.0,
Financing Cash Flow,2233000000.0,-10360000000.0,-14405000000.0,-1662000000.0,
Cash Flow From Continuing Financing Activities,2233000000.0,-10360000000.0,-14405000000.0,-1662000000.0,
Net Other Financing Charges,-793000000.0,-5622000000.0,-4147000000.0,-1979000000.0,
Net Common Stock Issuance,0.0,-2918000000.0,-9171000000.0,-7854000000.0,
Common Stock Payments,0.0,-2918000000.0,-9171000000.0,-7854000000.0,
Net Issuance Payments Of Debt,3026000000.0,-1820000000.0,-1087000000.0,8171000000.0,
Net Short Term Debt Issuance,878000000.0,-3059000000.0,2407000000.0,-596000000.0,
Net Long Term Debt Issuance,2148000000.0,1239000000.0,-3494000000.0,8767000000.0,
Long Term Debt Payments,-7024000000.0,-11947000000.0,-11311000000.0,-3928000000.0,
Long Term Debt Issuance,9172000000.0,13186000000.0,7817000000.0,12695000000.0,
Investing Cash Flow,-44487000000.0,-10287000000.0,-32663000000.0,-87601000000.0,
Cash Flow From Continuing Investing Activities,-44487000000.0,-10287000000.0,-32663000000.0,-87601000000.0,
Net Other Investing Changes,1157000000.0,-195000000.0,685000000.0,239000000.0,
Net Investment Purchase And Sale,-23643000000.0,9280000000.0,-5335000000.0,-61782000000.0,
Sale Of Investment,579409000000.0,545359000000.0,246134000000.0,190070000000.0,
Purchase Of Investment,-603052000000.0,-536079000000.0,-251469000000.0,-251852000000.0,
Net Business Purchase And Sale,-1074000000.0,-396000000.0,-8604000000.0,-10594000000.0,
Purchase Of Business,-1074000000.0,-396000000.0,-8604000000.0,-10594000000.0,
Net PPE Purchase And Sale,-20927000000.0,-18976000000.0,-19409000000.0,-15464000000.0,
Purchase Of PPE,-20927000000.0,-18976000000.0,-19409000000.0,-15464000000.0,
Operating Cash Flow,45969000000.0,30592000000.0,49196000000.0,37350000000.0,
Cash Flow From Continuing Operating Activities,45969000000.0,30592000000.0,49196000000.0,37350000000.0,
Change In Working Capital,2355000000.0,-6784000000.0,20441000000.0,-15244000000.0,
Change In Other Working Capital,1693000000.0,-7465000000.0,15240000000.0,-12103000000.0,
Change In Other Current Liabilities,429000000.0,-2288000000.0,2570000000.0,1719000000.0,
Change In Other Current Assets,-861000000.0,-206000000.0,98000000.0,-5157000000.0,
Change In Receivables,-2426000000.0,626000000.0,-1949000000.0,-5621000000.0,
Changes In Account Receivables,,,,,-5834000000.0
Other Non Cash Items,3239000000.0,-892000000.0,-513000000.0,-3074000000.0,
Unrealized Gain Loss On Investment Securities,-39981000000.0,-49297000000.0,-69144000000.0,63120000000.0,
Asset Impairment Charge,10681000000.0,0.0,0.0,,
Amortization Of Securities,-11964000000.0,-11349000000.0,-5510000000.0,-1132000000.0,
Depreciation And Amortization,13476000000.0,12855000000.0,12486000000.0,10899000000.0,
Amortization Cash Flow,,1795000000.0,1828000000.0,1233000000.0,1252000000.0
Amortization Of Intangibles,,1795000000.0,1828000000.0,1233000000.0,1252000000.0
Depreciation,,11060000000.0,10658000000.0,9666000000.0,9466000000.0
Operating Gains Losses,903000000.0,-3502000000.0,-5711000000.0,4779000000.0,
Gain Loss On Investment Securities,903000000.0,-3502000000.0,-5711000000.0,4779000000.0,
Net Income From Continuing Operations,67260000000.0,89561000000.0,97147000000.0,-21998000000.0,
